"rank","country","iq","pop2021"
"","equatorial guinea","59","1449.8960"
"","saint lucia","62","184.4000"
"","mozambique","64","32163.0470"
"","cameroon","64","27224.2650"
"","gabon","64","2278.8250"
"","Gambia","66","2486.9450"
"","guinea","67","13497.2440"
"","haiti","67","11541.6850"
"","liberia","67","5180.2030"
"","lesotho","67","2159.0790"
"","guinea-bissau","67","2015.4940"
"","Sao Tome and Principe","67","223.3680"
"","dominica","67","72.1670"
"","saint kitts and nevis","67","53.5440"
"","angola","68","33933.6100"
"","burkina faso","68","21497.0960"
"","chad","68","16914.9850"
"","somalia","68","16359.5040"
"","swaziland","68","1172.3620"
"","djibouti","68","1002.1870"
"","ethiopia","69","117876.2270"
"","Ivory Coast","69","27053.6290"
"","niger","69","25130.8170"
"","malawi","69","19647.6840"
"","burundi","69","12255.4330"
"","rwanda","70","13276.5130"
"","benin","70","12451.0400"
"","togo","70","8478.2500"
"","botswana","70","2397.2410"
"","antigua and barbuda","70","98.7310"
"","sudan","71","44909.3530"
"","central african republic","71","4919.9810"
"","jamaica","71","2973.4630"
"","saint vincent and the grenadines","71","111.2630"
"","tanzania","72","61498.4370"
"","ghana","73","31732.1290"
"","mali","74","20855.7350"
"","namibia","74","2587.3440"
"","senegal","76","17196.3010"
"","Republic of the Congo","76","5657.0130"
"","mauritania","76","4775.1190"
"","cape verde","76","561.8980"
"","south africa","77","60041.9940"
"","comoros","77","888.4510"
"","DR congo","78","92377.9930"
"","nepal","78","29674.9200"
"","qatar","78","2930.5280"
"","sri lanka","79","21497.3100"
"","zambia","79","18920.6510"
"","guatemala","79","18249.8600"
"","kenya","80","54985.6980"
"","el salvador","80","6518.4990"
"","bhutan","80","779.8980"
"","barbados","80","287.7110"
"","egypt","81","104258.3270"
"","honduras","81","10062.9910"
"","nicaragua","81","6702.3850"
"","maldives","81","543.6170"
"","india","82","1393409.0380"
"","bangladesh","82","166303.4980"
"","madagascar","82","28427.3280"
"","zimbabwe","82","15092.1710"
"","dominican republic","82","10953.7030"
"","lebanon","82","6769.1460"
"","algeria","83","44616.6240"
"","syria","83","18275.7020"
"","tunisia","83","11935.7660"
"","papua new guinea","83","9119.0100"
"","libya","83","6958.5320"
"","oman","83","5223.3750"
"","bahrain","83","1748.2960"
"","pakistan","84","225199.9370"
"","nigeria","84","211400.7080"
"","iran","84","85028.7590"
"","colombia","84","51265.8440"
"","uganda","84","47123.5310"
"","afghanistan","84","39835.4280"
"","morocco","84","37344.7950"
"","saudi arabia","84","35340.6830"
"","venezuela","84","28704.9540"
"","jordan","84","10269.0210"
"","united arab emirates","84","9991.0890"
"","paraguay","84","7219.6380"
"","panama","84","4381.5790"
"","solomon islands","84","703.9960"
"","belize","84","404.9140"
"","bahamas","84","396.9130"
"","vanuatu","84","314.4640"
"","micronesia","84","116.2540"
"","marshall islands","84","59.6100"
"","peru","85","33359.4180"
"","yemen","85","30490.6400"
"","cuba","85","11317.5050"
"","eritrea","85","3601.4670"
"","trinidad and tobago","85","1403.3750"
"","fiji","85","902.9060"
"","kiribati","85","121.3920"
"","philippines","86","111046.9130"
"","kuwait","86","4328.5500"
"","tonga","86","106.7600"
"","seychelles","86","98.9080"
"","indonesia","87","276361.7830"
"","brazil","87","213993.4370"
"","myanmar","87","54806.0120"
"","iraq","87","41179.3500"
"","uzbekistan","87","33935.7630"
"","bolivia","87","11832.9400"
"","azerbaijan","87","10223.3420"
"","tajikistan","87","9749.6270"
"","turkmenistan","87","6117.9240"
"","guyana","87","790.3260"
"","nauru","87","10.8760"
"","mexico","88","130262.2160"
"","ecuador","88","17888.4750"
"","samoa","88","200.1490"
"","serbia","89","8697.5500"
"","laos","89","7379.3580"
"","costa rica","89","5139.0520"
"","mauritius","89","1273.4330"
"","suriname","89","591.8000"
"","turkey","90","85042.7380"
"","chile","90","19212.3610"
"","kyrgyzstan","90","6628.3560"
"","croatia","90","4081.6510"
"","bosnia and herzegovina","90","3263.4660"
"","albania","90","2872.9330"
"","thailand","91","69950.8500"
"","cambodia","91","16946.4380"
"","sierra leone","91","8141.3430"
"","lithuania","91","2689.8620"
"","cyprus","91","1215.5840"
"","brunei","91","441.5320"
"","malaysia","92","32776.1940"
"","greece","92","10370.7440"
"","ireland","92","4982.9070"
"","argentina","93","45605.8260"
"","bulgaria","93","6896.6630"
"","vietnam","94","98168.8330"
"","romania","94","19127.7740"
"","kazakhstan","94","18994.9620"
"","georgia","94","3979.7650"
"","armenia","94","2968.1270"
"","portugal","95","10167.9250"
"","israel","95","8789.7740"
"","slovakia","96","5460.7210"
"","moldova","96","4024.0190"
"","uruguay","96","3485.1510"
"","slovenia","96","2078.7240"
"","russia","97","145912.0250"
"","ukraine","97","43466.8190"
"","belarus","97","9442.8620"
"","malta","97","442.7840"
"","united states","98","332915.0730"
"","france","98","65426.1790"
"","spain","98","46745.2160"
"","australia","98","25788.2150"
"","czech republic","98","10724.5550"
"","hungary","98","9634.1640"
"","denmark","98","5813.2980"
"","new zealand","98","4860.6430"
"","latvia","98","1866.9420"
"","andorra","98","77.3550"
"","germany","99","83900.4730"
"","canada","99","38067.9030"
"","poland","99","37797.0050"
"","belgium","99","11632.3260"
"","sweden","99","10160.1690"
"","finland","99","5548.3600"
"","estonia","99","1325.1850"
"","united kingdom","100","68207.1160"
"","netherlands","100","17173.0990"
"","austria","100","9043.0700"
"","norway","100","5465.6300"
"","luxembourg","100","634.8140"
"","switzerland","101","8715.4940"
"","mongolia","101","3329.2890"
"","iceland","101","343.3530"
"","italy","102","60367.4770"
"","taiwan","104","23855.0100"
"","china","105","1444216.1070"
"","japan","105","126050.8040"
"","south korea","106","51305.1860"
"","hong kong","108","7552.8100"
"","singapore","108","5896.6860"
