A;B;C
Country;IQ;Crime index
equatorial guinea;59;37.5
saint lucia;62;61.06
mozambique;64;63.68
cameroon;64;64.35
gabon;64;51.59
Gambia;66;45.64
guinea;67;69.49
haiti;67;70.38
liberia;67;83.6
lesotho;67;61.44
guinea-bissau;67;51.47
Sao Tome and Principe;67;51.47
dominica;67;53.71
saint kitts and nevis;67;20.22
angola;68;66.63
burkina faso;68;51.54
chad;68;64.41
somalia;68;56.04
swaziland;68;33.71
djibouti;68;57.53
ethiopia;69;50.03
Ivory Coast;69;55.38
niger;69;68.7
malawi;69;56.37
burundi;69;43.24
rwanda;70;25.28
benin;70;37.82
togo;70;42.84
botswana;70;52.84
antigua and barbuda;70;46.32
sudan;71;41.85
central african republic;71;83.76
jamaica;71;67.53
saint vincent and the grenadines;71;38.05
tanzania;72;56.64
ghana;73;48.52
mali;74;50.08
namibia;74;65.89
senegal;76;41.49
Republic of the Congo;76;65.22
mauritania;76;48.53
cape verde;76;56.09
south africa;77;77.07
comoros;77;47.06
nepal;78;35.72
qatar;78;12.29
sri lanka;79;41.19
zambia;79;43.22
guatemala;79;58.15
kenya;80;61.4
el salvador;80;68.82
bhutan;80;35.02
barbados;80;47.29
egypt;81;46.79
honduras;81;74.78
nicaragua;81;48.37
maldives;81;55.99
india;82;44.72
bangladesh;82;64.22
madagascar;82;60.18
zimbabwe;82;58.88
dominican republic;82;60.14
lebanon;82;46.96
algeria;83;51.88
syria;83;68.09
tunisia;83;43.4
papua new guinea;83;80.24
libya;83;62
oman;83;20.26
bahrain;83;26.15
pakistan;84;43.86
nigeria;84;63.86
iran;84;49.19
colombia;84;55.77
uganda;84;56.07
afghanistan;84;76.37
morocco;84;49.1
saudi arabia;84;25.93
venezuela;84;84.25
jordan;84;40.73
united arab emirates;84;15.35
paraguay;84;48.97
panama;84;45.85
solomon islands;84;58.5
belize;84;51.31
bahamas;84;62.25
vanuatu;84;34.49
micronesia;84;37.72
marshall islands;84;24.26
peru;85;66.61
yemen;85;73.31
cuba;85;29.09
eritrea;85;21.44
trinidad and tobago;85;70.95
fiji;85;57.94
philippines;86;42.16
kuwait;86;34.04
tonga;86;64.42
seychelles;86;35.62
indonesia;87;46.23
brazil;87;67.85
myanmar;87;47.17
iraq;87;48.77
uzbekistan;87;34.7
bolivia;87;55.39
azerbaijan;87;31.66
tajikistan;87;49.33
turkmenistan;87;42.13
guyana;87;68.74
nauru;87;19.12
mexico;88;55
ecuador;88;54.41
samoa;88;41.01
serbia;89;38.26
laos;89;37.16
costa rica;89;55.34
mauritius;89;47.89
suriname;89;51.62
turkey;90;39.53
chile;90;52.08
kyrgyzstan;90;55.39
croatia;90;24.91
bosnia and herzegovina;90;43.01
albania;90;41.64
thailand;91;39.38
cambodia;91;51.22
sierra leone;91;78.68
lithuania;91;33.84
cyprus;91;31.97
brunei;91;28.03
malaysia;92;57.89
greece;92;44.14
ireland;92;45.02
argentina;93;63.31
bulgaria;93;38.12
vietnam;94;46.09
romania;94;28.35
kazakhstan;94;54.02
georgia;94;22.62
armenia;94;23.35
portugal;95;29.89
israel;95;31.21
slovakia;96;29.74
moldova;96;46.56
uruguay;96;51.22
slovenia;96;21.79
russia;97;40.13
ukraine;97;48.28
belarus;97;60.27
malta;97;38.93
united states;98;47.74
france;98;49.2
spain;98;33.13
australia;98;42.44
czech republic;98;25.31
hungary;98;34.81
denmark;98;26.72
new zealand;98;42.26
latvia;98;37.21
andorra;98;14.5
germany;99;35.42
canada;99;41.19
poland;99;29.32
belgium;99;44.17
sweden;99;47.2
finland;99;27.01
estonia;99;23.38
united kingdom;100;45.26
netherlands;100;27.22
austria;100;25.23
norway;100;33.35
luxembourg;100;32.15
switzerland;101;21.35
mongolia;101;55.64
iceland;101;24.13
italy;102;44.37
taiwan;104;15.24
china;105;30.17
japan;105;21.95
south korea;106;26.86
hong kong;108;21.73
singapore;108;32.98
